user_id,session_id,signup_ts,age_range
100001,58bec37ab818df39219ee36c124a1de9,2021-01-01 19:14:44,25-34
100002,c320ac72fe5e8cbfcf58458c36213ba5,2021-01-01 11:49:58,35-44
100003,ea11fb90284aa1c06933805f43c3e87a,2021-01-01 18:34:14,25-34
100004,d5d1b4f516ab497c1d93ca211007f78d,2021-01-01 12:30:52,35-44
100005,93eccad090caf11c1ce7eda4ec57b547,2021-01-01 23:33:15,35-44
100006,23fb2fd6449af42608771509a2964086,2021-01-01 12:59:09,25-34
100007,9a6b5bf6566b4bc0f8f12e1d673d6570,2021-01-01 10:13:19,18-24
100008,02650b7d25db1c4f242e6e84e93828a9,2021-01-01 05:23:30,18-24
100009,647f90c8cdd32a858ef5d82bccf6362c,2021-01-02 23:19:01,25-34
100010,9e5d1aa2fb6d7d58e39fda3f6f53becc,2021-01-01 22:58:03,35-44
100011,e2c0515104a69ee0559d7ce026ce69e1,2021-01-02 01:05:24,25-34
100013,3e268d7a5aea3cc243a77bae9cdd0e6d,2021-01-02 01:52:08,35-44
100014,ff07866e2b48e68051ae5600404215e2,2021-01-03 00:18:13,35-44
100015,4d3efe4d25dd1cbb5b22cc55bd2a1f69,2021-01-02 06:20:14,25-34
100017,ca98e06fc2f9dcec2a683d49536f5880,2021-01-02 11:07:19,25-34
100019,56c84976470ad5455636dc30b4c3ee30,2021-01-03 04:42:55,35-44
100020,e02bc67c7b9bb8ed141990b20d11f197,2021-01-02 23:03:38,35-44
100022,4f7fd10f7e89e388a9569d37445fd1a1,2021-01-02 17:15:12,25-34
100023,638d4ad6393fbbc45010f73e84aa2ec4,2021-01-02 10:19:40,25-34
100024,ba051e702a73c3b012c9d31926ee628d,2021-01-01 16:17:48,25-34
100025,15a0d41f52c54e6590ffa50c5fe5ac70,2021-01-01 22:40:46,25-34
100026,5abd38b7c69c5f71c9be3112be15cfc0,2021-01-02 02:24:05,45-54
100027,e76c026ae76e4bca96e74b79bde71f90,2021-01-02 06:16:10,45-54
100029,b7bbd2fd74a5b7e820774e4f1e1dabf5,2021-01-03 09:55:59,45-54
100030,b4984a3fedd0b2540c634c12fbaffbab,2021-01-03 02:12:52,25-34
100032,7c43f42eecdbff8750d4fcb192e3fa2f,2021-01-03 17:37:04,25-34
100033,7f089cdbcf8cf31ddeb395a34c9bf3fb,2021-01-02 13:15:45,25-34
100034,bbfa6aeccdaf5795dedada1bad3ecc1c,2021-01-03 14:58:28,35-44
100036,d7d9fb70d31c0f9290f2c1e5f184f376,2021-01-02 10:58:09,25-34
100037,8f1f0fada47f31f3a69572e91ea651b4,2021-01-03 14:33:02,35-44
100038,3bbae98252a6c67608c9d632e0a20321,2021-01-02 20:15:15,35-44
100039,ccf3ff3c8d52f74e81e28f891362ccde,2021-01-02 20:24:03,35-44
100040,b16f0b40e6abe9fd971dc08099e6bf2e,2021-01-02 08:51:24,35-44
100041,ac6f9d14920a06b119058ad6864b15da,2021-01-03 09:55:00,35-44
100042,4ce8bf1915cb3e9909b420029584eb68,2021-01-02 03:39:50,35-44
100043,5db52f28aedf25024a0e7258a0da0f09,2021-01-03 05:24:55,25-34
100045,4e988575159f567c4a4ce3c1879feb0c,2021-01-02 17:16:53,35-44
100046,0c5d036a708acec4fa609d785b6b55b3,2021-01-02 23:21:22,18-24
100047,b6aaa182a0ac314c81c574ea8f01db88,2021-01-02 17:49:29,35-44
100048,4835782d8997358e32d38974b97e7742,2021-01-03 10:46:40,45-54
100049,d8eb6774b50fa1478602f5562db66384,2021-01-02 18:08:40,35-44
100050,03152fea85d534b1716da985c9d35615,2021-01-03 21:33:04,35-44
100051,19382ac84a1e6779248a873a82cfa574,2021-01-03 15:56:47,18-24
100053,629d910c066bbb21d1a05c97fbccb4ab,2021-01-02 22:55:18,18-24
100054,aecce797692307808a9778b5c054efda,2021-01-02 08:24:52,25-34
100055,4d1c06a04a9b24097f0e8be3e3da457d,2021-01-02 04:38:15,25-34
100057,9926f8d0f60f4f1e3f8ea0ccd7f94a40,2021-01-02 19:25:11,45-54
100058,ee38796263dc7621841e45e6f6331032,2021-01-04 00:04:54,35-44
100059,81d4a93e8f57f97b3f74641d56f58c9a,2021-01-02 18:04:21,25-34
100063,90f6212f237009ac1d2ed56125d5af65,2021-01-03 04:48:55,18-24
100064,d1d2f16c4a8bad7df5a281e6aa859d2e,2021-01-04 03:32:14,45-54
100065,dff662e75688b58dbbfd606968027021,2021-01-04 07:11:32,18-24
100066,8240c9624caaa6639bf0d744d93cd501,2021-01-03 09:05:31,45-54
100067,a8a327a534e922692689d6bb5b561d9f,2021-01-03 00:32:29,35-44
100068,a3bf71be5243c351dc3a20c5cccecc3b,2021-01-02 17:40:12,18-24
